"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 25, 2021","93.002","92.925","93.142","92.888","-","0.11%"
"Aug 24, 2021","92.901","93.015","93.090","92.815","13.70K","-0.08%"
"Aug 23, 2021","92.971","93.425","93.515","92.960","18.39K","-0.57%"
"Aug 20, 2021","93.508","93.600","93.750","93.455","15.39K","-0.09%"
"Aug 19, 2021","93.588","93.215","93.605","93.215","20.63K","0.48%"
"Aug 18, 2021","93.144","93.155","93.275","92.945","21.78K","-0.00%"
"Aug 17, 2021","93.145","92.610","93.175","92.610","20.51K","0.57%"
"Aug 16, 2021","92.619","92.545","92.665","92.475","14.71K","0.12%"
"Aug 13, 2021","92.512","92.990","93.010","92.470","17.08K","-0.57%"
"Aug 12, 2021","93.038","92.905","93.045","92.845","14.19K","0.13%"
"Aug 11, 2021","92.918","93.070","93.205","92.800","18.56K","-0.15%"
"Aug 10, 2021","93.055","92.975","93.145","92.945","13.32K","0.13%"
"Aug 09, 2021","92.938","92.790","92.995","92.720","16.36K","0.15%"
"Aug 06, 2021","92.800","92.285","92.845","92.265","26.17K","0.59%"
"Aug 05, 2021","92.252","92.280","92.360","92.120","10.96K","-0.02%"
"Aug 04, 2021","92.274","92.045","92.315","91.820","16.07K","0.20%"
"Aug 03, 2021","92.088","92.060","92.160","91.895","10.27K","0.02%"
"Aug 02, 2021","92.065","92.150","92.180","91.920","14.28K","-0.13%"
"Jul 30, 2021","92.188","91.895","92.215","91.780","22.39K","0.35%"
"Jul 29, 2021","91.871","92.255","92.290","91.850","23.57K","-0.48%"
"Jul 28, 2021","92.317","92.460","92.785","92.235","28.21K","-0.13%"
"Jul 27, 2021","92.436","92.625","92.845","92.320","21.09K","-0.23%"
"Jul 26, 2021","92.651","92.915","92.975","92.540","17.46K","-0.30%"